TenPct_AGthighX, TenPct_AGthighY, TenPct_AGthighZ, TwentyFivePct_AGthighX, TwentyFivePct_AGthighY, TwentyFivePct_AGthighZ, FiftyPct_AGthighX, FiftyPct_AGthighY, FiftyPct_AGthighZ, SeventyFivePct_AGthighX, SeventyFivePct_AGthighY, SeventyFivePct_AGthighZ, NinetyPct_AGthighX, NinetyPct_AGthighY, NinetyPct_AGthighZ
-4.93E-01,-1.42E+00,-2.53E-01,-4.00E-01,-1.26E+00,-1.82E-01,-2.87E-01,-9.45E-01,-7.97E-02,-1.81E-01,-7.20E-01,2.27E-02,-1.03E-01,-5.56E-01,8.97E-02
-4.43E-01,-1.42E+00,-2.33E-01,-3.72E-01,-1.24E+00,-1.74E-01,-2.79E-01,-9.88E-01,-7.57E-02,-1.81E-01,-7.55E-01,1.09E-02,-9.94E-02,-6.46E-01,7.79E-02
-4.86E-01,-1.46E+00,-2.37E-01,-3.88E-01,-1.26E+00,-1.70E-01,-2.94E-01,-9.73E-01,-8.75E-02,-1.89E-01,-7.43E-01,2.27E-02,-1.03E-01,-5.68E-01,7.39E-02
-8.02E-01,-1.34E+00,-4.82E-01,-4.62E-01,-1.14E+00,-2.18E-01,-3.26E-01,-8.36E-01,-1.15E-01,-2.20E-01,-2.76E-01,2.27E-02,-1.27E-01,2.41E-01,9.76E-02
-4.35E-01,-1.38E+00,-2.96E-01,-3.72E-01,-1.22E+00,-2.37E-01,-2.83E-01,-9.84E-01,-1.55E-01,-2.09E-01,-7.43E-01,-4.42E-02,-1.27E-01,-6.19E-01,1.09E-02
-7.66E-01,-1.27E+00,-5.96E-01,-5.01E-01,-9.80E-01,-3.87E-01,-3.10E-01,-5.49E-01,-2.06E-01,-1.42E-01,5.60E-01,-4.81E-02,7.21E-02,1.00E+00,6.21E-02
-6.57E-01,-1.34E+00,-7.30E-01,-5.13E-01,-1.10E+00,-4.03E-01,-3.72E-01,-7.74E-01,-2.33E-01,-2.24E-01,3.35E-01,-8.36E-02,-1.31E-01,6.03E-01,1.48E-02
-8.17E-01,-1.86E+00,-9.31E-01,-5.21E-01,-1.21E+00,-6.23E-01,-2.55E-01,-7.24E-01,-3.12E-01,-6.04E-02,-3.42E-01,-9.54E-02,1.62E-01,2.26E-01,1.17E-01
-7.70E-01,-1.76E+00,-9.74E-01,-5.17E-01,-1.09E+00,-6.51E-01,-2.71E-01,-6.89E-01,-3.36E-01,-4.87E-02,-2.10E-01,-6.78E-02,1.93E-01,2.76E-01,1.41E-01
-7.47E-01,-1.92E+00,-9.39E-01,-5.09E-01,-1.14E+00,-6.83E-01,-2.87E-01,-7.16E-01,-3.32E-01,-7.60E-02,-1.21E-01,-1.11E-01,1.58E-01,2.37E-01,1.37E-01
-7.74E-01,-1.72E+00,-8.56E-01,-4.97E-01,-1.14E+00,-5.53E-01,-3.06E-01,-7.47E-01,-2.53E-01,-1.23E-01,-2.68E-01,-4.81E-02,9.94E-02,4.28E-02,1.53E-01
-8.02E-01,-1.60E+00,-9.23E-01,-5.36E-01,-1.05E+00,-6.20E-01,-3.10E-01,-6.89E-01,-2.77E-01,-1.42E-01,-2.64E-01,-1.07E-01,2.14E-02,2.02E-01,1.33E-01
-9.46E-01,-2.01E+00,-7.54E-01,-5.52E-01,-1.26E+00,-4.34E-01,-2.83E-01,-8.29E-01,-2.06E-01,-3.70E-02,-3.00E-01,-1.27E-02,1.89E-01,1.60E-01,2.00E-01
